Var1,Var2,Var3,Var4,Var5,Var6
4,2053269655,Sat Jun 06 03:56:13 PDT 2009,NO_QUERY,BurninUp4UBabyy,"@bbnugent haha I know, that would be so funny if she saw it! "
0,2301076655,Tue Jun 23 14:58:13 PDT 2009,NO_QUERY,amykayODT,"@ChargerJenn  I hope you get to feelin' better soon!"
4,1684928045,Sat May 02 22:29:10 PDT 2009,NO_QUERY,mojosmarty08,"dealing with a killer headache and stomachache. Good thing it waited for me to get off work..... Make me feel better? "
0,2211120548,Wed Jun 17 12:27:33 PDT 2009,NO_QUERY,rorambenjimouse,"@EuanDewar trust me im trying, but I can only see them on your profile, they're not even showing up on the twitter homepage "
4,1880165594,Fri May 22 00:18:39 PDT 2009,NO_QUERY,arsi_t,"says selesai juga natto anak2nya parish.....untung da nyampe rumah baru hujan...thx God  sekarang ngurusin ... http://plurk.com/p/veydz"
4,2185424142,Mon Jun 15 17:21:39 PDT 2009,NO_QUERY,licmotorsports,"@smern We do what we do....don't hate "
0,2183017171,Mon Jun 15 13:56:15 PDT 2009,NO_QUERY,kerry__white,"stuck in spain and cant catch up on harpers island. raginÂ´J.D died last week "
0,2265728919,Sun Jun 21 07:11:33 PDT 2009,NO_QUERY,awaisnaseer,"shit! Choka!  #PakCricket"
4,2002467670,Tue Jun 02 04:18:03 PDT 2009,NO_QUERY,audreyisanidiot,"@lucyanna WELL THEN I AM GOING TO USE MAH EYESSS. "
0,2196072171,Tue Jun 16 11:59:26 PDT 2009,NO_QUERY,stevenhmagic,"Transformers 2 cannot come fast enough "
0,2251520429,Sat Jun 20 03:46:15 PDT 2009,NO_QUERY,jazpalen,"needs sleep  hahahaaa gosh I'm so sore all over from last night "
0,2322463918,Wed Jun 24 22:39:51 PDT 2009,NO_QUERY,mediationman,"It's never good when a crayon gets in the dryer.  Now all our whites are blue. "
4,1880876408,Fri May 22 02:49:08 PDT 2009,NO_QUERY,ronaldntan,"@Natrixcity I am excited for you to be working with Mr. Demarchelier. You'll have to report back how he directs you and how he works! "
4,2006653360,Tue Jun 02 11:29:07 PDT 2009,NO_QUERY,larissayoung,"OMG, LA trip forthcoming! Santa Monica, even.   My excitement for June is rather overwhelming at the moment.  ))"
4,1970572322,Sat May 30 04:24:11 PDT 2009,NO_QUERY,PaulHarriott,"@fevberry Morning fev! Is the weather as fantastic where you are as it is in Worcs, hope you've got a day off "
0,1983846123,Sun May 31 13:57:03 PDT 2009,NO_QUERY,rdb62,"is enjoying the fast transition from spring to summer. Dumped pool water, and patiently waiting on the pool to fill back up. "
4,2050526854,Fri Jun 05 18:49:45 PDT 2009,NO_QUERY,vikimouse,"Happy national donut day!!!! With bay &amp; roxy at dunkin donuts!!!! "
4,2063416868,Sun Jun 07 02:34:19 PDT 2009,NO_QUERY,PotHeadshiphop,"Check out my NEW Solo track($1000) By T13 Produced by Zone1,, On some crazy story shit   http://www.myspace.com/t13potheadsnz"
4,1993752056,Mon Jun 01 10:52:32 PDT 2009,NO_QUERY,i61Lee,"@tamipants Haha! Yes, and the second clue is it's completely unpronounceable  It means Cheers, which I think is what Slainte means too?"
0,1997262083,Mon Jun 01 16:32:21 PDT 2009,NO_QUERY,golden86,"Very sad to read about A330. "
4,2052142687,Fri Jun 05 23:47:26 PDT 2009,NO_QUERY,MartynPoole,"My sisters wedding today "
4,2067067913,Sun Jun 07 11:41:21 PDT 2009,NO_QUERY,SongoftheOss,"Thanks to @Joolz1000 for the props  â™« http://blip.fm/~7t07i"
0,1997949294,Mon Jun 01 17:44:13 PDT 2009,NO_QUERY,KelleyTwit,"Oh no! Student council speeches in front of the whole school tomorrow! Oh gosh, I have so much homework today. "
4,1969898043,Sat May 30 01:38:53 PDT 2009,NO_QUERY,Amthezia,"@Lyanna CONGRATS!!! Supercool  have fun celebrating!!! *hugs*"
4,1956718629,Thu May 28 22:31:03 PDT 2009,NO_QUERY,alphabethsoup,"@moonprism i bet the kitties said, &quot;yippeeee&quot; too "
4,2055679979,Sat Jun 06 09:45:37 PDT 2009,NO_QUERY,vincenzoinglese,"@wayneNtampa i think i will study languages in naples! english, spanish and japanese "
4,2176616990,Mon Jun 15 04:20:14 PDT 2009,NO_QUERY,courtney_xxx,"@Laurennnn__ naw, hahah, i know you  how are you ?"
0,1971675000,Sat May 30 07:38:44 PDT 2009,NO_QUERY,saritamar,"#xampp isn't working on my computer anymore  I'm considering a replacement. Any suggestions?"
0,1965511805,Fri May 29 16:03:01 PDT 2009,NO_QUERY,katiexffghjk,"TWITTER WILL NOT UPLOAD MY ICON PICTURE  it hates me. Eff this, i'll upload it later"
4,1971053019,Sat May 30 06:04:32 PDT 2009,NO_QUERY,xcool,"@limkitsiang please have more rest! god bless you! "
4,1996749683,Mon Jun 01 15:37:23 PDT 2009,NO_QUERY,Yeaaahitsbrooke,"uberly sick. GAY! someone make me pizza? I'll pay you in cookies "
4,1793438803,Thu May 14 02:41:56 PDT 2009,NO_QUERY,CHiNITAtotz,"@DavidArchie HI ! Welcome to the PHILIPPINES "
0,2242180864,Fri Jun 19 11:52:17 PDT 2009,NO_QUERY,SacredVIP,"is feeling icky. this new diet just isn't fun. "
4,1991384049,Mon Jun 01 06:56:31 PDT 2009,NO_QUERY,Bizarre57,"@mattfincham Absolutely.  And timetables &amp; Star Trek...  "
0,1994246928,Mon Jun 01 11:38:28 PDT 2009,NO_QUERY,iheartrendering,"@kward3 I'm sorry  @rjstever made me do it."
0,2053842139,Sat Jun 06 05:51:52 PDT 2009,NO_QUERY,yssaj,"There's school on monday  No changing that."
4,1822978208,Sat May 16 20:49:50 PDT 2009,NO_QUERY,LunaJune,"@fishfire wow..pretty serious after 6 words..!! I know that you're not   I'll vouch for you"
0,2228672614,Thu Jun 18 14:44:23 PDT 2009,NO_QUERY,queenanthai,"Got her to eat a few bites of food. Changed the water and she still rejected it!  She's laying down on a pillow in the kitchen now."
0,2244688513,Fri Jun 19 15:04:53 PDT 2009,NO_QUERY,_sammm,"@TeamGomez dunno  maybe something to do with nick?  idk. @mileycyrus stoppied following @taylorswift13 too o_O  :S"
0,2218467337,Wed Jun 17 22:32:11 PDT 2009,NO_QUERY,Charmjay,"ugh...why am i still awake...somebody chat with me "
0,1558673363,Sun Apr 19 09:04:29 PDT 2009,NO_QUERY,misscolacube,"I've had a mad half hour on the trampoline while the sun is shining.  Back to work tomorrow after 2 weeks off "
4,2178931781,Mon Jun 15 08:24:35 PDT 2009,NO_QUERY,favvystephhh,"hair coloring with eileen. then work. "
0,2053518465,Sat Jun 06 04:50:27 PDT 2009,NO_QUERY,evil_superstar,"leaning statistic "
4,1827452368,Sun May 17 10:44:27 PDT 2009,NO_QUERY,taylorswiftt,"@Dancer4Life13 haha sorry  yeah. i have been."
0,2252364104,Sat Jun 20 06:06:08 PDT 2009,NO_QUERY,xo_mcflyandjb,"@aussiemcflyfan its so unfortunate  it'd be good if we could all have someone"
0,1836064240,Mon May 18 07:18:04 PDT 2009,NO_QUERY,SteelCityTerp,"1/2 a team here  my Billy is sick - jess"
4,2016229387,Wed Jun 03 06:24:34 PDT 2009,NO_QUERY,rana__xx,"lol im in such a goodd mooodddd "
0,2302376701,Tue Jun 23 16:43:20 PDT 2009,NO_QUERY,ohhLiLy,"@shesTHABABY I wished  I moved to north Carolina 2 weeks ago"
4,2063882474,Sun Jun 07 04:26:44 PDT 2009,NO_QUERY,DiSCOLENA,"@Danishbrunette gooood, me too.  I have to leave half past eight tomorrow."
4,2053932553,Sat Jun 06 06:06:59 PDT 2009,NO_QUERY,reeder29,"Just bought a Palm Pre -- let's see if it's everything I hoped!  "
4,2032607978,Thu Jun 04 11:30:19 PDT 2009,NO_QUERY,hollymcmenamin,"just what im a celeb on you tube so funny "
